ORCA_URN	AnalyzedText	ExemplarUrn	Analysis	TextDeformation	Sequence
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:0	urn:cts:greekLit:tlg0007.tlg012.ziegler:0.title@ΠΕΡΙΚΛΗΣ[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:0.title.1	urn:cite2:fufolio:tokenTypes.v1:word	ΠΕΡΙΚΛΗΣ	0
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:1	urn:cts:greekLit:tlg0007.tlg012.ziegler:0.title@ΚΑΙ[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:0.title.2	urn:cite2:fufolio:tokenTypes.v1:word	ΚΑΙ	1
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2	urn:cts:greekLit:tlg0007.tlg012.ziegler:0.title@ΦΑΒΙΟΣ[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:0.title.3	urn:cite2:fufolio:tokenTypes.v1:word	ΦΑΒΙΟΣ	2
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:3	urn:cts:greekLit:tlg0007.tlg012.ziegler:0.title@ΜΑΞΙΜΟΣ[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:0.title.4	urn:cite2:fufolio:tokenTypes.v1:word	ΜΑΞΙΜΟΣ	3
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:4	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@Ξένους[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.1	urn:cite2:fufolio:tokenTypes.v1:word	Ξένους	4
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:5	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@τινὰς[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.2	urn:cite2:fufolio:tokenTypes.v1:word	τινὰς	5
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:6	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@ἐν[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.3	urn:cite2:fufolio:tokenTypes.v1:word	ἐν	6
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:7	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@Ῥώμῃ[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.4	urn:cite2:fufolio:tokenTypes.v1:word	Ῥώμῃ	7
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:8	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@πλουσίους[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.5	urn:cite2:fufolio:tokenTypes.v1:word	πλουσίους	8
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:9	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@κυνῶν[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.6	urn:cite2:fufolio:tokenTypes.v1:word	κυνῶν	9
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:10	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@ἔκγονα[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.7	urn:cite2:fufolio:tokenTypes.v1:word	ἔκγονα	10
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:11	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@καὶ[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.8	urn:cite2:fufolio:tokenTypes.v1:word	καὶ	11
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:12	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@πιθήκων[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.9	urn:cite2:fufolio:tokenTypes.v1:word	πιθήκων	12
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:13	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@ἐν[2]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.10	urn:cite2:fufolio:tokenTypes.v1:word	ἐν	13
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:14	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@τοῖς[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.11	urn:cite2:fufolio:tokenTypes.v1:word	τοῖς	14
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:15	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@κόλποις[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.12	urn:cite2:fufolio:tokenTypes.v1:word	κόλποις	15
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:16	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@περιφέροντας[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.13	urn:cite2:fufolio:tokenTypes.v1:word	περιφέροντας	16
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:17	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@καὶ[2]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.14	urn:cite2:fufolio:tokenTypes.v1:word	καὶ	17
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:18	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@ἀγαπῶντας[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.15	urn:cite2:fufolio:tokenTypes.v1:word	ἀγαπῶντας	18
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:19	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@ἰδὼν[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.16	urn:cite2:fufolio:tokenTypes.v1:word	ἰδὼν	19
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:20	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@ὁ[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.17	urn:cite2:fufolio:tokenTypes.v1:word	ὁ	20
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:21	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@Καῖσαρ[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.18	urn:cite2:fufolio:tokenTypes.v1:word	Καῖσαρ	21
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:22	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@ὡς[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.19	urn:cite2:fufolio:tokenTypes.v1:word	ὡς	22
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:23	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@ἔοικεν[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.20	urn:cite2:fufolio:tokenTypes.v1:word	ἔοικεν	23
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:24	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@ἠρώτησεν[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.21	urn:cite2:fufolio:tokenTypes.v1:word	ἠρώτησεν	24
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:25	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@,[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.22	urn:cite2:fufolio:tokenTypes.v1:punc	,	25
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:26	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@εἰ[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.23	urn:cite2:fufolio:tokenTypes.v1:word	εἰ	26
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:27	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@παιδία[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.24	urn:cite2:fufolio:tokenTypes.v1:word	παιδία	27
